Order_ID,Customer_ID,Restaurant_ID,Order_Date,City_x,Order_Value,Payment_Method,Rating,Delivery_Time(min),Restaurant_Name,Cuisine,Avg_Price,City_y,Partner_Since,Name,Age,Gender,City,Member_Since
O1026,C829,R313,2024-09-24,Pune,1130.33,UPI,3,22,Riaan's Bistro,Chinese,735,Delhi,2021-07-19,Kashvi Bansal,39,M,Pune,2021-06-13
O1027,C791,R207,2023-04-30,Delhi,865.1,Net Banking,3,53,Prisha's Kitchen,Mexican,348,Delhi,2021-06-03,Stuvan Kapoor,29,F,Mumbai,2021-03-06
O1028,C433,R263,2023-10-16,Pune,1435.0,UPI,1,27,Uthkarsh's Diner,Mexican,222,Chennai,2022-01-03,Advika Bhatia,49,F,Bangalore,2024-10-08
O1029,C722,R334,2023-03-04,Hyderabad,356.39,UPI,2,54,Seher's Diner,American,361,Bangalore,2022-11-29,Anahi Sodhi,25,M,Bangalore,2022-12-06
O1030,C775,R240,2023-06-16,Delhi,948.45,Net Banking,3,36,Saksham's Grill,Thai,402,Mumbai,2020-09-03,Ojas Badami,20,M,Bangalore,2021-08-06
O1031,C822,R239,2023-12-08,Hyderabad,396.21,Net Banking,1,21,Advika's Bistro,Thai,435,Chennai,2024-02-07,Miraan Subramanian,52,F,Hyderabad,2021-11-23
O1032,C550,R202,2024-07-25,Mumbai,959.69,Credit Card,1,38,Zeeshan's Grill,Indian,416,Pune,2021-09-10,Armaan Doshi,42,F,Mumbai,2022-11-17
O1033,C268,R344,2023-09-12,Delhi,1111.71,COD,3,19,Baiju's Café,Italian,741,Chennai,2022-01-31,Armaan Bhagat,43,F,Delhi,2021-08-19
O1034,C312,R309,2023-04-08,Pune,1111.23,UPI,3,40,Shray's Eatery,Indian,331,Mumbai,2020-01-01,Navya Devi,29,F,Mumbai,2023-03-03
O1035,C346,R313,2023-07-31,Mumbai,1241.1,Debit Card,1,24,Riaan's Bistro,Chinese,735,Delhi,2021-07-19,Krish Tripathi,25,M,Delhi,2023-12-23
O1036,C584,R311,2024-04-15,Bangalore,1294.97,Debit Card,3,25,Zaina's Grill,American,331,Chennai,2023-05-21,Alisha Krishnamurthy,28,F,Delhi,2024-10-19
O1037,C126,R349,2024-06-01,Pune,208.18,Credit Card,2,54,Anaya's Kitchen,Mexican,549,Pune,2021-01-05,Lakshay Sampath,20,F,Mumbai,2021-02-11
O1038,C622,R203,2024-09-11,Hyderabad,580.57,Debit Card,1,52,Keya's Kitchen,Mexican,577,Bangalore,2023-11-10,Rati Singh,30,F,Chennai,2024-09-06
O1039,C403,R333,2024-08-09,Pune,1061.97,Credit Card,1,25,Mannat's Bistro,American,735,Hyderabad,2021-12-30,Anvi Kannan,42,F,Delhi,2021-02-05
O1040,C345,R225,2023-12-09,Bangalore,798.02,COD,3,44,Mohanlal's Diner,Chinese,634,Hyderabad,2020-08-23,Tanya Aurora,37,F,Pune,2022-01-10
O1041,C814,R338,2024-07-26,Pune,366.95,Credit Card,3,18,Badal's Café,Thai,259,Mumbai,2023-04-01,Riya Kapadia,41,M,Mumbai,2021-10-17
O1042,C486,R216,2024-08-12,Mumbai,873.79,Net Banking,3,16,Kavya's Café,Mexican,721,Bangalore,2021-09-21,Divyansh Lall,27,M,Bangalore,2021-03-06
O1043,C183,R291,2024-03-10,Chennai,670.41,Net Banking,2,27,Lakshay's Bistro,Indian,212,Chennai,2021-07-23,Samaira Wadhwa,50,M,Delhi,2023-02-04
O1044,C778,R230,2024-03-31,Pune,646.05,Net Banking,1,53,Hunar's Grill,American,238,Pune,2020-05-19,Gatik Sura,44,M,Chennai,2023-08-06
O1045,C143,R343,2024-02-12,Delhi,1233.66,Net Banking,4,31,Mehul's Eatery,Italian,275,Mumbai,2020-09-24,Madhup Biswas,31,M,Bangalore,2021-07-06
O1046,C698,R306,2024-04-23,Bangalore,670.64,Net Banking,2,37,Inaaya 's Café,Chinese,269,Hyderabad,2021-03-16,Raunak Date,45,M,Chennai,2023-02-14
O1047,C732,R345,2024-05-08,Pune,137.04,Net Banking,2,59,Divyansh's Bistro,Chinese,513,Mumbai,2020-10-24,Alisha Wagle,40,M,Hyderabad,2024-06-16
O1048,C394,R310,2024-07-10,Bangalore,181.29,Net Banking,1,24,Trisha's Kitchen,American,580,Delhi,2023-05-14,Divyansh Thaman,44,M,Pune,2024-03-04
O1049,C776,R300,2023-07-24,Chennai,1298.74,Net Banking,4,27,Saira's Kitchen,Chinese,213,Delhi,2023-04-03,Reyansh Gokhale,49,M,Bangalore,2022-10-14
O1050,C525,R311,2023-03-26,Mumbai,1444.84,Net Banking,1,56,Zaina's Grill,American,331,Chennai,2023-05-21,Miraya Dass,51,F,Chennai,2024-05-19
O1051,C492,R261,2023-04-08,Delhi,1063.77,COD,2,53,Anvi's Diner,Chinese,714,Pune,2023-01-03,Pari Varughese,33,F,Delhi,2021-01-06
O1052,C141,R311,2023-03-19,Hyderabad,610.12,Net Banking,3,56,Zaina's Grill,American,331,Chennai,2023-05-21,Siya Master,25,M,Delhi,2023-05-26
O1053,C339,R315,2023-11-15,Pune,1414.04,Credit Card,1,43,Reyansh's Bistro,American,353,Hyderabad,2021-02-12,Tara Wable,53,M,Mumbai,2023-12-24
O1054,C849,R234,2023-05-15,Mumbai,1027.92,COD,1,30,Kaira's Bistro,Thai,348,Mumbai,2022-05-11,Miraya Reddy,23,M,Chennai,2023-02-21
O1055,C425,R227,2024-08-26,Bangalore,1282.07,Debit Card,3,17,Miraya's Eatery,Mexican,321,Bangalore,2023-01-30,Rati Vasa,23,M,Mumbai,2022-04-27
O1056,C552,R302,2024-06-08,Chennai,1172.19,UPI,4,50,Reyansh's Eatery,Indian,636,Pune,2023-01-05,Heer Bir,47,F,Bangalore,2024-09-10
O1057,C539,R324,2024-01-11,Bangalore,630.8,COD,4,18,Lakshit's Eatery,Mexican,318,Pune,2021-04-16,Zaina Mallick,52,F,Delhi,2022-08-03
O1058,C584,R301,2023-08-07,Chennai,770.18,Net Banking,1,50,Raghav's Eatery,Thai,617,Bangalore,2022-08-28,Alisha Krishnamurthy,28,F,Delhi,2024-10-19
O1059,C161,R336,2024-09-26,Chennai,360.59,COD,3,30,Nakul's Café,Thai,358,Hyderabad,2021-07-29,Kismat Edwin,40,M,Delhi,2023-12-20
O1060,C402,R342,2024-09-12,Mumbai,508.82,UPI,1,55,Navya's Bistro,Indian,308,Pune,2020-07-01,Kaira Dhar,52,M,Delhi,2022-05-01
O1061,C695,R220,2023-07-04,Pune,1189.38,UPI,3,20,Baiju's Diner,Italian,687,Chennai,2020-02-17,Vritika Raval,18,M,Mumbai,2024-04-05
O1062,C265,R251,2023-09-19,Hyderabad,1351.57,Net Banking,2,56,Sara's Diner,American,482,Hyderabad,2020-06-06,Parinaaz Upadhyay,18,F,Hyderabad,2022-05-03
O1063,C267,R296,2023-07-02,Pune,1114.24,Net Banking,3,42,Anvi's Eatery,American,513,Bangalore,2022-07-02,Jayesh Mannan,19,F,Mumbai,2024-08-30
O1064,C109,R250,2024-07-07,Delhi,751.24,Credit Card,1,50,Anaya's Café,American,635,Delhi,2023-04-16,Tara Swaminathan,53,F,Delhi,2022-08-02
O1065,C469,R282,2024-08-01,Pune,221.11,UPI,5,37,Nishith's Café,Indian,423,Bangalore,2022-06-08,Ishita Bora,47,M,Hyderabad,2022-01-23
O1066,C816,R254,2023-01-06,Chennai,179.73,Net Banking,4,26,Renee's Diner,American,606,Bangalore,2023-05-25,Nitya Ghose,43,M,Hyderabad,2022-12-23
O1067,C151,R276,2023-03-03,Chennai,624.06,UPI,1,56,Zaina's Eatery,American,328,Mumbai,2021-01-05,Pihu Wali,35,M,Bangalore,2024-06-17
O1068,C261,R326,2023-06-30,Delhi,749.35,Credit Card,3,45,Heer's Bistro,Mexican,715,Delhi,2021-04-05,Mamooty Arora,40,F,Pune,2023-01-19
O1069,C361,R292,2024-04-09,Bangalore,952.77,Debit Card,3,26,Prisha's Kitchen,Italian,592,Pune,2020-05-03,Nitara Goyal,50,M,Mumbai,2021-03-24
O1070,C699,R287,2024-05-26,Chennai,109.09,UPI,4,46,Rohan's Bistro,Indian,501,Delhi,2022-09-24,Shamik Baria,34,F,Pune,2021-09-06
O1071,C629,R279,2024-09-17,Delhi,1485.61,Credit Card,1,39,Manjari's Eatery,American,648,Bangalore,2020-03-02,Shlok Brar,33,F,Pune,2023-07-03
O1072,C451,R291,2024-05-18,Chennai,609.51,Credit Card,5,43,Lakshay's Bistro,Indian,212,Chennai,2021-07-23,Amani Basu,51,M,Chennai,2023-04-29
O1073,C719,R246,2024-06-01,Hyderabad,1287.33,Credit Card,2,33,Zain's Kitchen,American,665,Pune,2020-01-10,Mehul Loke,51,M,Hyderabad,2022-09-15
O1074,C596,R237,2023-08-30,Chennai,848.95,COD,5,36,Kanav's Diner,Chinese,559,Chennai,2023-07-04,Divyansh Sundaram,46,F,Bangalore,2021-08-20
O1075,C825,R338,2023-08-30,Mumbai,282.62,Net Banking,2,38,Badal's Café,Thai,259,Mumbai,2023-04-01,Manjari Wagle,54,M,Hyderabad,2022-11-20
O1076,C772,R214,2024-01-23,Delhi,1216.59,UPI,2,47,Vardaniya's Grill,Mexican,425,Mumbai,2021-10-17,Azad Sule,21,M,Pune,2023-01-28
O1077,C310,R200,2024-10-12,Pune,1093.76,COD,1,50,Pari's Grill,Chinese,789,Mumbai,2022-01-31,Shanaya Venkataraman,19,F,Bangalore,2024-10-25
O1078,C327,R334,2024-05-02,Delhi,838.41,UPI,2,59,Seher's Diner,American,361,Bangalore,2022-11-29,Aaina Luthra,53,F,Bangalore,2024-06-10
O1079,C200,R200,2024-04-30,Bangalore,820.37,COD,3,54,Pari's Grill,Chinese,789,Mumbai,2022-01-31,Anya Chhabra,52,F,Chennai,2022-04-01
O1080,C382,R248,2023-05-05,Chennai,222.47,Net Banking,2,30,Urvi's Kitchen,Italian,412,Chennai,2021-11-11,Alia Sule,40,M,Mumbai,2021-01-05
O1081,C899,R295,2023-06-21,Delhi,1018.19,Credit Card,2,16,Samar's Grill,Mexican,433,Chennai,2020-09-07,Tushar Gandhi,20,F,Bangalore,2022-12-15
O1082,C438,R225,2024-03-27,Hyderabad,1375.74,UPI,4,22,Mohanlal's Diner,Chinese,634,Hyderabad,2020-08-23,Lavanya Dass,47,F,Pune,2022-12-02
O1083,C285,R286,2024-06-13,Delhi,230.54,Credit Card,4,27,Mamooty's Café,Indian,604,Bangalore,2023-06-15,Romil Dhar,33,M,Bangalore,2022-08-26
O1084,C722,R292,2023-04-10,Hyderabad,468.92,Net Banking,1,44,Prisha's Kitchen,Italian,592,Pune,2020-05-03,Anahi Sodhi,25,M,Bangalore,2022-12-06
O1085,C550,R301,2024-01-16,Chennai,1363.23,UPI,1,15,Raghav's Eatery,Thai,617,Bangalore,2022-08-28,Armaan Doshi,42,F,Mumbai,2022-11-17
O1086,C220,R270,2024-03-15,Pune,498.08,Debit Card,3,26,Sumer's Grill,Mexican,428,Mumbai,2021-09-22,Amira Dugar,32,M,Pune,2021-05-09
O1087,C415,R339,2023-10-04,Chennai,1015.52,Debit Card,4,21,Oorja's Bistro,Mexican,518,Pune,2021-08-07,Jiya Rao,32,M,Chennai,2022-03-21
O1088,C450,R294,2024-08-05,Bangalore,848.75,Debit Card,5,28,Ayesha's Kitchen,Italian,797,Hyderabad,2021-05-09,Tara Maharaj,18,F,Delhi,2024-08-06
O1089,C716,R317,2024-06-19,Mumbai,934.86,Net Banking,1,56,Dhanush's Kitchen,Chinese,604,Pune,2022-12-12,Zain Gopal,21,M,Pune,2024-03-29
O1090,C119,R347,2023-05-27,Pune,682.1,Debit Card,1,49,Shalv's Kitchen,Mexican,218,Hyderabad,2023-04-02,Kashvi Char,29,M,Mumbai,2022-03-04
O1091,C324,R318,2023-12-25,Pune,519.99,UPI,4,42,Shray's Diner,Indian,401,Bangalore,2023-04-21,Tarini Mani,41,M,Bangalore,2021-06-18
O1092,C527,R250,2024-08-18,Mumbai,167.95,Debit Card,4,26,Anaya's Café,American,635,Delhi,2023-04-16,Sahil Subramaniam,21,M,Delhi,2021-06-29
O1093,C324,R280,2023-09-18,Delhi,1141.99,UPI,3,54,Anya's Kitchen,Italian,303,Hyderabad,2022-01-07,Tarini Mani,41,M,Bangalore,2021-06-18
O1094,C614,R235,2023-10-06,Chennai,1144.53,Net Banking,4,38,Rati's Grill,Italian,596,Chennai,2022-10-21,Indrans Saha,20,F,Bangalore,2021-08-31
O1095,C502,R266,2024-05-15,Delhi,1039.02,Credit Card,2,15,Amira's Kitchen,Thai,307,Mumbai,2020-06-19,Hunar Das,52,M,Mumbai,2023-08-03
O1096,C402,R328,2023-04-04,Delhi,1001.09,COD,5,31,Jhanvi's Diner,Chinese,725,Hyderabad,2021-02-07,Kaira Dhar,52,M,Delhi,2022-05-01
O1097,C862,R313,2023-07-21,Chennai,441.2,Debit Card,2,52,Riaan's Bistro,Chinese,735,Delhi,2021-07-19,Gatik Deol,26,F,Mumbai,2022-11-17
O1098,C619,R310,2023-12-21,Bangalore,131.28,COD,2,42,Trisha's Kitchen,American,580,Delhi,2023-05-14,Jhanvi Sinha,25,M,Hyderabad,2023-08-21
O1099,C204,R341,2023-06-29,Pune,1232.2,Credit Card,2,47,Mamooty's Kitchen,Indian,605,Bangalore,2023-10-24,Reyansh Kakar,18,F,Pune,2023-02-25
O1100,C560,R299,2024-05-20,Hyderabad,787.59,Net Banking,1,38,Yashvi's Eatery,Italian,408,Bangalore,2022-10-21,Divyansh Sankar,29,M,Mumbai,2022-05-10
O1101,C738,R308,2023-06-18,Mumbai,529.57,Net Banking,2,59,Vivaan's Kitchen,Mexican,300,Pune,2022-11-12,Vritika Bora,28,M,Delhi,2021-04-29
O1102,C684,R319,2023-06-09,Pune,242.7,Credit Card,1,20,Ahana 's Grill,American,237,Chennai,2023-05-06,Anahi Mannan,49,F,Hyderabad,2024-10-16
O1103,C241,R278,2023-01-14,Delhi,187.81,COD,4,35,Prerak's Diner,Italian,714,Mumbai,2020-02-08,Jhanvi Agrawal,20,M,Pune,2022-10-27
O1104,C877,R333,2023-04-19,Mumbai,588.41,Debit Card,5,59,Mannat's Bistro,American,735,Hyderabad,2021-12-30,Emir Kale,47,F,Chennai,2024-03-09
O1105,C480,R218,2024-03-21,Hyderabad,1226.63,UPI,5,18,Manikya's Grill,Mexican,601,Delhi,2020-07-26,Azad Dutt,40,F,Delhi,2021-05-01
O1106,C230,R326,2023-02-09,Pune,1386.21,Net Banking,2,47,Heer's Bistro,Mexican,715,Delhi,2021-04-05,Prerak Bhardwaj,45,F,Pune,2021-03-08
O1107,C247,R228,2024-09-17,Pune,1355.45,Credit Card,5,24,Urvi's Bistro,Thai,743,Hyderabad,2020-03-02,Taimur Cheema,50,F,Bangalore,2024-08-20
O1108,C184,R223,2023-03-11,Bangalore,1388.0,COD,1,50,Jayan's Eatery,Thai,371,Mumbai,2023-10-14,Nirvaan Srinivasan,22,M,Chennai,2023-02-13
O1109,C753,R209,2024-02-19,Pune,1370.82,Debit Card,4,27,Anay's Kitchen,Mexican,573,Mumbai,2023-10-03,Saanvi Bora,21,M,Hyderabad,2021-10-04
O1110,C199,R304,2023-01-16,Pune,838.11,COD,2,50,Kaira's Grill,Mexican,219,Delhi,2022-03-24,Ivan Jani,18,F,Pune,2021-05-13
O1111,C200,R344,2023-01-18,Hyderabad,407.18,Debit Card,3,23,Baiju's Café,Italian,741,Chennai,2022-01-31,Anya Chhabra,52,F,Chennai,2022-04-01
O1112,C795,R254,2023-08-17,Hyderabad,1217.27,UPI,5,45,Renee's Diner,American,606,Bangalore,2023-05-25,Dhanuk Sampath,43,F,Pune,2022-07-26
O1113,C388,R346,2023-02-24,Mumbai,399.2,UPI,5,18,Zain's Grill,Indian,316,Mumbai,2021-11-22,Sumer Sarna,20,F,Pune,2021-03-27
O1114,C125,R201,2023-05-06,Delhi,474.09,Credit Card,2,34,Faiyaz's Grill,American,368,Mumbai,2023-03-04,Ishaan Goyal,32,M,Delhi,2022-12-27
O1115,C151,R346,2024-09-29,Hyderabad,426.56,Credit Card,5,22,Zain's Grill,Indian,316,Mumbai,2021-11-22,Pihu Wali,35,M,Bangalore,2024-06-17
O1116,C215,R334,2023-03-09,Mumbai,820.98,Debit Card,5,41,Seher's Diner,American,361,Bangalore,2022-11-29,Miraya Baria,49,M,Chennai,2022-08-16
O1117,C272,R310,2023-01-10,Pune,550.56,Debit Card,3,50,Trisha's Kitchen,American,580,Delhi,2023-05-14,Onkar Bains,21,F,Hyderabad,2022-04-13
O1118,C654,R237,2024-09-01,Mumbai,315.82,Debit Card,1,23,Kanav's Diner,Chinese,559,Chennai,2023-07-04,Kashvi Kala,25,F,Mumbai,2024-03-19
O1119,C230,R330,2024-09-28,Mumbai,734.44,Debit Card,2,57,Purab's Grill,Chinese,535,Delhi,2020-07-31,Prerak Bhardwaj,45,F,Pune,2021-03-08
O1120,C199,R301,2023-06-05,Mumbai,1323.47,UPI,2,38,Raghav's Eatery,Thai,617,Bangalore,2022-08-28,Ivan Jani,18,F,Pune,2021-05-13
O1121,C724,R294,2024-09-19,Chennai,898.77,Credit Card,3,51,Ayesha's Kitchen,Italian,797,Hyderabad,2021-05-09,Ishaan Taneja,51,M,Delhi,2023-07-14
O1122,C656,R291,2024-04-11,Mumbai,1329.67,Credit Card,3,55,Lakshay's Bistro,Indian,212,Chennai,2021-07-23,Riaan Bhandari,53,M,Mumbai,2022-03-02
O1123,C467,R270,2024-01-21,Hyderabad,374.22,Net Banking,1,54,Sumer's Grill,Mexican,428,Mumbai,2021-09-22,Zeeshan Tiwari,45,M,Hyderabad,2021-09-29
O1124,C553,R223,2024-02-19,Chennai,333.76,Credit Card,4,44,Jayan's Eatery,Thai,371,Mumbai,2023-10-14,Amani Goyal,34,F,Delhi,2023-12-30
O1125,C363,R267,2023-02-09,Delhi,905.81,Credit Card,2,40,Hazel's Bistro,Mexican,566,Mumbai,2023-07-26,Abram Vala,50,F,Chennai,2024-05-01
O1126,C504,R327,2023-06-05,Mumbai,748.66,COD,5,18,Purab's Grill,Chinese,420,Pune,2023-05-07,Jayan Chahal,50,F,Pune,2022-10-21
O1127,C519,R292,2024-09-18,Bangalore,1024.24,COD,1,15,Prisha's Kitchen,Italian,592,Pune,2020-05-03,Akarsh Thakkar,43,M,Bangalore,2022-12-22
O1128,C421,R243,2023-12-31,Pune,1212.48,Net Banking,2,34,Zain's Grill,Italian,434,Delhi,2022-09-13,Aarav Jayaraman,39,F,Pune,2022-05-07
O1129,C833,R332,2024-02-28,Pune,1151.83,Debit Card,1,42,Emir's Eatery,Italian,699,Mumbai,2020-03-11,Tiya Bhattacharyya,30,M,Hyderabad,2023-05-04
O1130,C116,R254,2023-01-07,Chennai,1419.17,Net Banking,4,59,Renee's Diner,American,606,Bangalore,2023-05-25,Samiha Karpe,19,M,Chennai,2022-02-12
O1131,C739,R228,2023-06-25,Pune,657.56,Net Banking,2,38,Urvi's Bistro,Thai,743,Hyderabad,2020-03-02,Armaan Dhar,51,M,Delhi,2021-03-16
O1132,C200,R236,2023-09-08,Pune,388.94,UPI,5,42,Faiyaz's Eatery,Thai,501,Chennai,2022-04-10,Anya Chhabra,52,F,Chennai,2022-04-01
O1133,C748,R314,2023-04-28,Chennai,871.28,Credit Card,2,42,Arnav's Grill,Indian,426,Bangalore,2020-08-13,Badal Dar,32,F,Bangalore,2021-08-29
O1134,C600,R202,2023-07-25,Pune,255.04,UPI,1,19,Zeeshan's Grill,Indian,416,Pune,2021-09-10,Yakshit Johal,18,M,Delhi,2023-06-25
O1135,C789,R321,2024-09-15,Mumbai,504.39,Credit Card,4,46,Onkar's Diner,American,256,Hyderabad,2021-08-29,Alia Ramachandran,18,F,Chennai,2022-11-05
O1136,C183,R242,2023-06-11,Delhi,391.04,Net Banking,1,44,Indrajit's Kitchen,Italian,797,Hyderabad,2020-06-09,Samaira Wadhwa,50,M,Delhi,2023-02-04
O1137,C560,R206,2024-02-13,Chennai,655.19,Credit Card,1,35,Samaira's Eatery,Chinese,569,Bangalore,2023-09-21,Divyansh Sankar,29,M,Mumbai,2022-05-10
O1138,C513,R324,2023-12-05,Bangalore,255.7,Debit Card,3,56,Lakshit's Eatery,Mexican,318,Pune,2021-04-16,Khushi Doctor,29,M,Hyderabad,2022-10-28
O1139,C680,R248,2024-09-07,Chennai,144.58,Debit Card,1,30,Urvi's Kitchen,Italian,412,Chennai,2021-11-11,Sahil Kashyap,22,F,Mumbai,2023-07-05
O1140,C542,R320,2023-09-14,Hyderabad,1019.51,Net Banking,4,22,Neysa's Diner,Mexican,387,Mumbai,2023-04-13,Amani Gour,49,F,Chennai,2023-05-28
O1141,C549,R272,2023-04-12,Bangalore,954.35,COD,5,26,Trisha's Eatery,Chinese,335,Chennai,2021-10-23,Farhan Boase,40,M,Mumbai,2021-06-02
O1142,C462,R240,2023-11-04,Hyderabad,1091.7,Debit Card,3,46,Saksham's Grill,Thai,402,Mumbai,2020-09-03,Ishita Amble,33,M,Chennai,2024-05-10
O1143,C361,R305,2024-09-12,Chennai,1024.54,Net Banking,1,39,Parinaaz's Diner,American,786,Mumbai,2021-09-02,Nitara Goyal,50,M,Mumbai,2021-03-24
O1144,C504,R276,2023-07-28,Hyderabad,260.01,UPI,2,17,Zaina's Eatery,American,328,Mumbai,2021-01-05,Jayan Chahal,50,F,Pune,2022-10-21
O1145,C198,R326,2023-07-29,Bangalore,507.51,COD,3,40,Heer's Bistro,Mexican,715,Delhi,2021-04-05,Divij Shetty,52,M,Bangalore,2021-09-14
O1146,C870,R290,2023-04-11,Mumbai,281.34,Debit Card,4,50,Renee's Bistro,American,311,Pune,2021-08-22,Charvi Wable,19,M,Bangalore,2022-02-01
O1147,C686,R207,2023-05-15,Chennai,1280.16,Net Banking,2,31,Prisha's Kitchen,Mexican,348,Delhi,2021-06-03,Samarth Ramakrishnan,38,M,Bangalore,2024-02-05
O1148,C864,R231,2024-02-27,Chennai,1145.67,Net Banking,4,41,Pihu's Diner,American,696,Delhi,2022-03-07,Badal Dhillon,48,F,Delhi,2022-03-02
O1149,C289,R263,2024-02-08,Pune,382.14,UPI,2,36,Uthkarsh's Diner,Mexican,222,Chennai,2022-01-03,Yashvi Yohannan,53,M,Delhi,2021-10-05
O1150,C814,R337,2023-02-24,Chennai,577.83,UPI,5,59,Nirvaan's Grill,Italian,387,Mumbai,2021-12-22,Riya Kapadia,41,M,Mumbai,2021-10-17
O1151,C761,R212,2024-10-01,Chennai,1453.26,COD,4,52,Prerak's Café,American,487,Hyderabad,2020-05-01,Umang Date,51,F,Mumbai,2022-04-07
O1152,C664,R292,2023-10-02,Mumbai,931.82,Debit Card,2,49,Prisha's Kitchen,Italian,592,Pune,2020-05-03,Madhup Ganesan,34,M,Bangalore,2022-09-27
O1153,C612,R260,2023-09-16,Pune,1221.62,Net Banking,4,21,Nitara's Eatery,Mexican,552,Chennai,2020-06-08,Kismat Dugal,43,F,Chennai,2024-05-18
